created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,language,sentiment_polarity
Tue May 01 01:27:46 +0000 2018, bRT @murthaburke: Get Healthy With Some Coconut Based Oils! \\nhttps://t.co/Aov8NdtxYS \\n#blockchain #cryptocurrency #crypto #ethereum #trapadr, bmqxrxperymoht1, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,60,0, en, Positive
Tue May 01 01:27:46 +0000 2018, bRT @SilentWhstlBlwr: Breaking: $Link succesfully executes #smartcontract live #ropsten etherscan testnet. #chainlink use cases are infinite, Joshuahinson9, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, ,97,449,0, en, Positive
Tue May 01 01:27:46 +0000 2018, bRT @SocialWalletInc: We are proud of our partnership with @showhandio (https://t.co/4dlSkU4Idt)! #Blockchain #Bitcoin #btc #Ethereum #eth #, ndeso_bagoes, <a href=https://mobile.twitter.com rel=nofollow>Twitter Lite</a>, indonesia,7304,7426,0, en, Positive
Tue May 01 01:27:48 +0000 2018, bRT @UserExperienceU: #IoT #Ecosystems require #Ontologies of your #Products and #Services #Futurist #IoT #BlockChain #Agile #DevOps  https:, UgSki79ZyKtCc3X, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,30,0, en, Neutral
Tue May 01 01:27:49 +0000 2018, bRT @DigitizeCoin: #Digitize your loose change and cash deposits to #cryptocurrency. \\nhttps://t.co/Jz2D3mmBFg\\n\\n#ICO #crypto #tokensale #pres, ViktorKomarov5, <a href=https://nbvhmvmmh.com rel=nofollow>hgd hgeg egf </a>, Amsterda,10953,11042,0, ru, Negative
Tue May 01 01:27:49 +0000 2018, bRT @UserExperienceU: Website #help and #support systems should #avoid #FAQ #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/1TGxsQZj, kamala4812ax, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Neutral
Tue May 01 01:27:49 +0000 2018, bRT @CoinMMunity: Join Our New Crypto Facebook group\\n\\nhttps://t.co/4DcUNhQSCL\\n\\n#makemoney #BTC #Bitcoin #LTC #Litecoin #HODL #cryptocurrency, earnmoneynow24, <a href=https://www.botlibre.com rel=nofollow>Bot Libre!</a>, ,60,376,0, en, Positive
Tue May 01 01:27:51 +0000 2018, bRT @WealthE_Coin: New to the whole ICO thing?  Here is some info about what you need to know! #ICOs #Bitcoin #Blockchain #WealthMigrate #We, mentari_megga, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, Di sini|W���n��,1345,2604,0, en, Positive
Tue May 01 01:27:51 +0000 2018, bLibra Credit is a decentralized lending ecosystem that facilitates open access to credit anywhere and anytime based https://t.co/mYwS6G4LxU, vinod5473, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, India,119,611,0, en, Neutral
Tue May 01 01:27:52 +0000 2018, bRT @THE4THPILLARLTD: Aljaz Jadek - our main legal expert - presented at an ICO and blockchain technology conference in Ljubljana. What do y, bitcoinbrofer, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, Bronx,1298,1609,0, en-gb, Positive
Tue May 01 01:27:55 +0000 2018, bRT @UserExperienceU: #IoT #Ecosystems require #Ontologies of your #Products and #Services #Futurist #IoT #BlockChain #Agile #DevOps  https:, franchuk464, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Neutral
Tue May 01 01:27:56 +0000 2018, bRT @AitheonOfficial: We want to reduce costs to organisations by implementing our blockchain ecosystem and using #AI and #robotics as a lev, regas26448749, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1613,4198,0, en, Neutral
Tue May 01 01:27:57 +0000 2018, bRT @CoinsAirdrops: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\\nNew Airdrop #HGT \\n\\nNEW HelloGold Airdrop - 200 #HGT, CoinsAirdrops, <a href=https://mobile.twitter.com rel=nofollow>Mobile Web (M2)</a>, Blockchain,440,394,0, en, Neutral
Tue May 01 01:27:59 +0000 2018, bRT @bethereumteam: BREAKING NEWS: #Bethereum pre-sale cap reached!\\nWe\re humbled by over 1300 early-adopters joining our family as official, vtu4993, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,16,171,0, vi, Neutral
Tue May 01 01:28:00 +0000 2018, bRT @smrvieira91: BitcoinZ all information:\\nOfficial Website: https://t.co/t8G6tOkdHR\\nCoinMarketCap: https://t.co/NlWBlqDtbW\\n\\n@BitcoinZTeam, esmeraldaJ20, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,82,184,0, en, Neutral
Tue May 01 01:28:01 +0000 2018, b@durov in iran .government jamed and filtered   telegram ..but u said they will not be able to do this. blockchain  was bullshit? #durov, russell_lunatic, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,59,111,0, en, Positive
Tue May 01 01:28:02 +0000 2018, bThats an interesting way to understand #blockchain #crypto https://t.co/wYWb5GxU49, AllanJunLi, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, Sydney,29,68,0, en, Positive
Tue May 01 01:28:02 +0000 2018, bRT @bethereumteam: Many of you already correctly guessed what\s coming in the next days! \\nMore hints will be posted in our #Telegram group, vtu4993, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,16,171,0, vi, Positive
Tue May 01 01:28:02 +0000 2018, bRT @AmandaLorenzani: interesting predictions here about the potential of @eidoo_io https://t.co/pqUY2sJAU2 #edo #coinbase #wallet #crypto #, browning6767mk, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1,0,0, en, Positive
Tue May 01 01:28:03 +0000 2018, bRT @CryptoPolicecom: This week Arturs and Karolina had opportunity to participate in meetups in Zurich and Zug and attend #BlockchainSummit, fanninghysteric, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,578,855,0, ru, Neutral
